Specialties,Description
Immunology,"Allergy and immunology is a subspecialty of internal medicine. An allergist-immunologist evaluates, diagnoses, and manages disorders involving the immune system. Such conditions include asthma, anaphylaxis, eczema, rhinitis, and reactions to drugs, foods, and insect stings."
Cardiology,Cardiology is a subspecialty of internal medicine. A doctor of cardiology—a cardiologist—deals with diseases and maladies of the heart and blood vessels (the cardiovascular system).
Dermatology,"A doctor of dermatology—a dermatologist—finds, prevents, and treats diseases of the skin, hair, nails, and adjacent mucous membranes. "
Surgery,"General surgeons are specially trained to perform complicated procedures, and they operate to treat disease, deformities, and injuries."
Endocrinology,Endocrinologists treat the endocrine system—the glands that produce and secrete hormones that control and regulate nearly all of the body's functions. People with diabetes or thyroid disease are often treated by an endocrinologist.
General,"Family practice physicians are primary care providers who see patients of all ages and provide basic care for a variety of common ailments. They are usually the first to recognize major health problems, order diagnostic tests, and refer patients to specialists when needed."
Gastroenterology,"Gastroenterologists treat the functions and diseases of the digestive system. This field attracts physicians who enjoy doing procedures, but who also like seeing patients in an outpatient setting."
Genetics,A geneticist is a doctor who evaluates and treats people with inherited disorders such as Huntington's disease or cystic fibrosis.
Hematology,"Hematologists specialize in diseases of the blood, including cancers of the blood such as leukemia and lymphoma. "
Infectious,"Infectious disease physicians deal with infections that are hard to diagnose or treat. They also treat serious infections such as the swine flu, bird flu, HIV/AIDS, and other infectious diseases."
Nephrology,Nephrologists treat kidney disease and prescribe dialysis for those experiencing kidney failure.
Neurology,"Neurologists are doctors who take care of patients with medical conditions that affect the brain, spine, or nerves."
Gynecology,"A gynecologist is a doctor who specializes in female reproductive health, including menopause and hormone problems. An obstetrician provides care for people who are pregnant. Obstetricians also are trained to deliver babies. Often, these specialities are combined, in which case the physician is referred to as an OB/GYN."
Oncology,"Oncologists take care of patients who have cancer by treating the disease itself, as well as the symptoms it causes."
Ophthalmology,"Ophthalmologists are medical doctors who treat diseases or disorders of the eyes, such as cataracts and glaucoma."
Orthopedics,"An orthopedist or orthopedic surgeon is a doctor who specializes in conditions of the musculoskeletal system, including the bones, muscles, joints, and connective tissues. These physicians see patients with injuries such as sprains, joint injuries, and broken bones. They also specialize in chronic conditions like osteoarthritis, tendonitis, dysplasia, and osteoporosis."
Osteopath,"An osteopath is a doctor who specializes in treating the whole person. These physicians typically practice primary care medicine such as pediatrics or internal medicine. They use musculoskeletal or cranial manipulation to restore balance in body systems such as the respiratory, digestive, or nervous systems."
Otolaryngology,Otolaryngology is a field that entails a combination of surgical skills and office-based medicine and treatment. They are required to attend medical school in addition to residency for otolaryngology.
Pediatrics,"Pediatricians provide primary health care to children, including vaccinations, general health checkups, school physicals, and treatment of issues like coughs, colds, and stomach flu."
Podiatics,"A podiatrist is a doctor who treats problems with the foot, ankle, and lower leg, such as osteoarthritis in the ankle, diabetic foot disorders, foot and ankle injuries, skin and nail conditions of the foot, and foot deformities like flat feet and hammertoe."
Pulmonology,"Pulmonologists treat the cardio-pulmonary system, which consists of the heart, lungs, and organs involved in the respiratory process."
Psychiatrics,"A psychiatrist specializes in mental health. They treat emotional and behavioral problems through a combination of psychotherapy, psychoanalysis, medication, and hospitalization."
Rheumatology,"Rheumatologists treat rheumatic diseases, or autoimmune and inflammatory diseases of the musculoskeletal system. The most common condition a rheumatologist treats is arthritis including osteoarthritis (wear and tear arthritis) and rheumatoid arthritis (an autoimmune condition). They also treat other autoimmune diseases such as lupus and scleroderma. A rheumatologist may also treat chronic back pain, fibromyalgia, osteoporosis, and related conditions."
Urology,"A urologist is a doctor who treats diseases of the male and female urinary tract, including conditions of the bladder and kidneys. Urologists also treat conditions of the male reproductive system. "
